Source,Source Title,Source Publication Date,Source Page Number,Source Link,Source Access Date,Repository,Source Citation,Item Title,Critic/Reporter,"Poet Name (Last, First Middle) [Alternate Name]",Poet Last Name,Poet Middle Names,Poet First Name,Mentioned Poets,Relative | Relationship to Poet,"Mentioned, Other | Profession",Poet Publication Details,Poet Pub Type,Publication Poet Mentioned In,Event Title,Event Date,Event Location,Event Type,Coordinates ,Excerpt,Commentary,Tags,Notes
Book Review,The Times Literary Supplement,1969-01-02,p. 8,https://link.gale.com/apps/doc/ EX1200533017/GDCS?u=linc74325&sid=GDCS&xid=74746eba,2019-12-17,Gale Primary Sources Database,"Beier, Ulli, and Professor Ulli [added above]; BEIER [sic] ; University of Papua New Guinea, Box 1194, Buroko, Burock, Papua New Guinea (AKA). ""Ways into Africa."" The Times Literary Supplement, 2 Jan. 1969, p. 8. The Times Literary Supplement Historical Archive, https://link.gale.com/apps/doc/ EX1200533017/GDCS?u=linc74325&sid=GDCS&xid=74746eba. Accessed 17 Dec. 2019.",Ways into Africa,"Beier, Ulli","Soyinka, Wole
Clark, John Pepper [J. P.]
Okara, Gabriel
Senghor, Léopold Sédar 
",,,,"Cesaire, Aime",,"Beier, Ulli|Critic
Laurence, Margaret|Writer
Jahn, Janheinz|Academic
Moore, Gerald|Critic
Ekwensi, Cyprian|Writer
Horton, Robin|Academic
",,,"Laurence, Margaret. Long Drums and Cannons. London: Macmillan, 1968.

Jahn, Janheinz. A History of Neo-African Literature. Faber and Faber, 1969.",,,,,,"[Excerpt]: ""It is difficult to imagine two more different approaches to modern African literature. On the one hand there is Margaret Laurence, a novelist, looking at African novels and plays somewhat arbitrarily selected, and giving a personal interpretation. She looks at each author and each work separately. On the other hand there is Janheinz Jahn, who approaches the subject like a philosopher, less interested in giving us his personal response to this ovel or that play than in attempting to discover the underlying Weltanschauung that inspires and informs the writers of 'neo-African' literature...""",,"review, criticism, neo-african, literature, tradition, culture, oral, orature, rhapsody",
News Report,The Sunday Times,1969-07-27,p. 13,https://link.gale. com/apps/doc/FP1802681680/GDCS?u=linc74325&sid=GDCS&xid=d1148092,2019-12-17,Gale Primary Sources Database,"""Conversations in Biafra."" Sunday Times, 27 July 1969, p. 13. The Sunday Times Digital Archive, https://link.gale. com/apps/doc/FP1802681680/GDCS?u=linc74325&sid=GDCS&xid=d1148092. Accessed 17 Dec. 2019.",Conversations in Biafra,"Wyndham, Francis","Achebe, Chinua [Albert Chinualumogu]",,,,"Okara, Gabriel",,"Wyndham, Francis|Reporter
Ojukwu, C. Odumegwu|Politician
Onwu, Simon|Doctor
Ekwensi, Cyprian|Writer
Onegbula, Godwin|Politician
Weil, Simone|Writer
Okagbue, Ben|Politician
Akpan, N. U.|Politician
Mbanefo, Louis|Politician
Okigbo, Pius|Politician
Welles, Orson|Writer
Ozemene, K. N.|Politician

",,,,Secession of Biafra,Mon May 01 00:00:00 CDT 1967,West Africa. Nigeria. Biafra.,Event|Political,,"[Excerpt]: ""General Ojukwu, the leader of Biafra, is frequently portrayed as a conventional demagogue, who bears the sole responsibility for his country's plight. In fact, the traditionally democratic structure of Ibo society is such that no major decision--military, political, or social--can be taken without the unanimous consent of the broadly-based Biafran Consultative Assembly. FRANCIS WYNDHAM has recently returend from Biafra, where he talked with Ojukwu himself, and with other 'leaders of thought.' Here, he reports on how Biafra works today, and the new-born confidence with which Biafrans are already planning their post-war society...""",,"war, secession, democracy",
Critical Article,The Times Literary Supplement,1964-09-03,p. 809,https://link.gale.com/apps/doc/EX1200532174/ GDCS?u=linc74325&sid=GDCS&xid=e6ce0b95,2019-12-17,Gale Primary Sources Database,"Moore, Gerald Holyoake. ""Avant ou a Rebours?"" The Times Literary Supplement, 3 Sept. 1964, p. 809. The Times Literary Supplement Historical Archive, https://link.gale.com/apps/doc/EX1200532174/ GDCS?u=linc74325&sid=GDCS&xid=e6ce0b95. Accessed 17 Dec. 2019.",Avant ou A Rebours? ,"Moore, Gerald","Okara, Gabriel",,,,"Breton, Andre
Cesaire, Aime",,"Moore, Gerald|Critic
Baudelaire, Charles|Writer
Modisane, Bloke|Writer
Bergman, Ingmar|Writer
Ray, Satyajit|Writer
Nkosi, Lewis|Writer
Fugard, Atholl|Writer
Lammings, George|Writer
Williams, Denis|Writer",,,,,,,,,"[Excerpt]: ""Is the avant-garde a subject of indifference to artists outside the western world? Is it generally regarded elsewhere as a curious manifestation of western neuroticism or subjectivisim or decadence? The first special number of The Times Literary Supplement on this theme clearly anticipated some such answer and there are many reasons why one might be tempted to give it... There are two spurs which are likely to gaod the non-European writer more and more in the direction of experiment in the coming years. First, the sense of alienation which is apt to pursue him everywhere once he becomes fully aware, in the search for an identity, of what he is not... Secondly, those who are attempting to record in English or in French the lives of people who do not spak them are immediately confronted with the absolute necessity to experiment with langauge. They may attempt to transfer the imagery, the speech-rhythms, or even, as Gabriel Okara of Nigeria has done in one interesting chapter, the actual syntax of vernacular speech. Whatever they do, they cannot evade the problem, for language taken straight from the European novel or stage will ring falser than any experiment...""",,"language, speech, western, avant-garde, review, criticism, imagery",
Advertisement,The Times Literary Supplement,1973-04-13,p. 428,https://link.gale.com/apps/doc/EX1200388972/GDCS?u=linc74325&sid= GDCS&xid=1cf6af46,2019-12-17,Gale Primary Sources Database,"""paper-backs."" The Times Literary Supplement, 13 Apr. 1973, p. 428. The Times Literary Supplement Historical Archive, https://link.gale.com/apps/doc/EX1200388972/GDCS?u=linc74325&sid= GDCS&xid=1cf6af46. Accessed 17 Dec. 2019.",Paper-backs: Fiction,,"Okara, Gabriel",,,,,,"Alain-Fournier|Writer
Bulgakov, Mikhail|Writer
Glenny, Michael|Translator
Dumas, Alexandre|Writer
Eliot, George|Writer
Speaight, Robert|Editor
Fielding, Henry|Writer
Gordon, James|Editor
Flaubert, Gustave|Writer
Burlingame, Perdita|Translator
Hilton, James|Writer
McCarty, Nick|Writer
Gerson, Jack|Writer
Nwankwo, Nkem|Writer
Uasi, Adaora Lily|Writer","Okara, Gabriel. The Voice. Fontana, 1964.",Single Author|Full Text,,,,,,,"[Full Text]: ""Fiction: Alain-Fournier: The Wanderer. Translated by Lowell Bair. (Signet. 60p.) Mikhail Bulgakov: The Master and Margarita. The White Guard. Translated by Michael Glenny. (Fontana. 40p each.) Alexandre Dumas: Camille. (Signet. 45p.) George Eliot: Middlemarch. Edited by Robert Speaight. (Pan. 45p.) Henry Fielding: Joseph Andrews. Edited by James Gordon. (Pan. 35p.) Gustave Flaubert: The Sentimental Education. Translated by Perdita Burlingame. (Signet. 70p.) James Hilton: Lost Horizon. (Pan. 30p.) Nick McCarty and Jack Gerson: The Regiment. (Pan. 30p.) Nkem Nwankwo: Danda. (Fontana. 30p.) Gabriel Okara: The Voice. (Fontana. 30p.) Adaora Lily Ulasi: Many Thing You No Understand. (Fontana. 35p.)""",,"fiction, publication",
Advertisement,The Times Literary Supplement,1978-10-20,p. 1203,https://link.gale.com/apps/doc/EX1200426353/GDCS?u=linc74325&sid= GDCS&xid=734965e2,2019-12-17,Gale Primary Sources Database,"""Heinemann."" The Times Literary Supplement, 20 Oct. 1978, p. 1203. The Times Literary Supplement Historical Archive, https://link.gale.com/apps/doc/EX1200426353/GDCS?u=linc74325&sid= GDCS&xid=734965e2. Accessed 17 Dec. 2019.",Heinemann,,"Okara, Gabriel
Soyinka, Wole
Achebe, Chinua [Albert Chinualumogu]",,,,"Skelton, Robin
",,"Wauthier, Claude|Editor
Armah, Ayi Kwei|Writer
Ngugi, James|Writer
Aniebo, I. N. C.|Writer
Njau, Rebeka|Writer
Johnson-Davies, Denys|Editor
Mahfouz, Naguib|Writer
Fowles, John|Writer
Ibrahim, Sonallah|Writer
Kanafani, Ghassan|Writer
Salih, Tayeb|Writer
Jacues, Elliot|Editor
McClements, Leslie|Writer
Westland, Gordon|Writer
Hellman, Judith Alder|Writer","Okara, Gabriel. The Fisherman's Invocation: Poems. Heinemann, 1978.

",Single Author|Selected Works,"Wauthier, Claude. The Literature and Thought of Modern Africa. Heinemann, 1978.",,,,,,"[Excerpt]: ""The Literature and Thought of Modern Africa. Claude Wauthier. The second edition of this renowned work has been updated to include the new intellectuals: Wole Soyinka, Ayi Kewi Armah, Chinua Achebe and Ngugi among others... African Writers Series. Latest additions to this world famous series, now comprising over 200 titles. The Journey Within. I. N. C. Aniebo.... The Fisherman's Invocation: Poems by Gabriel Okara...""",,"poetry, publication, collection",
Advertisement,The Times Literary Supplement,1965-09-16,p. 812,https://link.gale.com/apps/doc/EX1200337740/GDCS? u=linc74325&sid=GDCS&xid=d9a60bb1,2019-12-17,Gale Primary Sources Database,"""BOOKS OF THE 1960s-2."" The Times Literary Supplement, 16 Sept. 1965, p. 812. The Times Literary Supplement Historical Archive, https://link.gale.com/apps/doc/EX1200337740/GDCS? u=linc74325&sid=GDCS&xid=d9a60bb1. Accessed 17 Dec. 2019.",Books of the 1960s-2,,"Achebe, Chinua [Albert Chinualumogu]
Delius, Anthony [Ronald St. Martin]
Okara, Gabriel
Peters, Lenrie
Soyinka, Wole
Brutus, Dennis
Clark, John Pepper [J. P.]
Peters, Lenrie
Okigbo, Christopher",,,,"Avison, Margaret
Birney, Earle
Baxter, Jim
Campill, Alistair
Curnow, Allan
Daniells, Roy
Ghose, Zulfikar
Layton, Irving
McEwen, Gwendolen
Nwanodi, Glory
Porter, Peter
Reanly, James
Williams, G. Awoonor
Smith, A. J. M.
Souster, Raymond
Walcott, Derek",,"Abrahams, Peter|Writer
Aluko, T. M.|Writer
Ballantyne, David|Writer
Callaghan, Morley|Writer
Cross, Ian|Writer
Duckworth, Marilyn|Writer
Duggan, Maurice|Writer
Ekwensi, Cyprian|Writer
Frame, Janet|Writer
Gordimer, Nadine|Writer
Harris, Wilson|Writer
Hearne, John|Writer
Hilliard, Noel|Writer
Hood, Hugh|Writer
Jacobson, Dan|Writer
Jhabvala, Ruth Prawer|Writer
La Guma, Alex|Writer
Lamming, George|Writer
Laurence, Margaret|Writer
Lowry, Malcom|Writer
Ludwig, Jack|Writer
Malgonkar, Manohar|Writer
Markandaya, Kamala|Writer
Moore, Brian|Writer
Mutwa, Vusamazulu|Writer
Naipaul, V. S.|Writer
Narayan, R. K.|Writer
Ngugi, James|Writer
Nkosi, Lewis|Writer
Nwankwo, Nkem|Writer
Nzekwu, Onuora|Writer
Patterson, H. Orlando|Writer
Pearson, Bill|Writer
Rajan, Balachandra|Writer
Rao, Raja|Writer
Renault, Mary|Writer
Richler, Mordecai|Writer
Roy, Namba|Writer
Sargison, Frank|Writer
Singh, Khushwant|Writer
Tutuola, Amos|Writer
White, Patrick|Writer
Williams, Denis|Writer
Wilson, Ethel|Writer
","Achebe, Chinua. No Longer at Ease. 1960.

Achebe, Chinua. Arrow of Gold. 1964.

Delius, Anthony [Ronald St. Martin]. The Day Natal Took Off. 1963.

Okara, Gabriel. The Voice. Fontana, 1964.

Peters, Lenrie. The Second Round. Heinemann, 1966. 

Soyinka, Wole. The Interpreters. Heinemann, 1964.

Brutus, Dennis. Sirens, Knuckles, Boots. Mbari Publications, 1963. 

Clark, John Pepper. Poems. A Reed in the Tide. Longmans, 1965.

Peters, Lenrie. Poems. Mbari Publications, 1964.

Okigbo, Christopher. Heavensgate. 1962.

Okigbo, Christopher. Limits. 1964.
","Single Author|Full Text

Single Author|Full Text

Single Author|Full Text

Single Author|Full Text

Single Author|Full Text

Single Author|Full Text

Single Author|Selected Works

Single Author|Selected Works

Single Author|Selected Works

Single Author|Selected Works

Single Author|Selected Works",,,,,,,[List of published books by authors.],,"publication, release, advertisement",
Book Review,The Times Literary Supplement,1965-04-29,p. 323,https://link.gale.com/apps/ doc/EX1200336466/GDCS?u=linc74325&sid=GDCS&xid=99641f62,2019-12-17,Gale Primary Sources Database,"Hunt, David Wathen Stather, and D. HUNT. ""Orpheus in Africa."" The Times Literary Supplement, 29 Apr. 1965, p. 323. The Times Literary Supplement Historical Archive, https://link.gale.com/apps/ doc/EX1200336466/GDCS?u=linc74325&sid=GDCS&xid=99641f62. Accessed 17 Dec. 2019.",Orpheus in Africa,"Hunt, David Wathen Stather","Okara, Gabriel",,,,"Rubadiris, David",,"Hunt, David Wathen Stather|Critic
Beier, Ulli|Editor
Cook, David|Editor
Zirimu, Elvania|Writer
Ngugi, James|Writer
Tutuola, Amos|Writer
Aidoo, Christina|Writer
Williams, Gaston Bart|Writer
Khunga, Cuthbert|Writer
",,,"Black Orpheus. An Anthology of African and Afro-American Prose. Edited by Ulli Beier. Longmans, 1964.

Origin East Africa. A Makerere Anthology. Edited by David Cook. Heinemann, 1965.",,,,,,"[Excerpt]: ""Both these anthologies have come together largely by chance. Both editors deny, in remarkably similar language, that they started out with the intention of making an anthology. Ulli Beier has drawn his material from the best stories which have appeared over the past five years in the magazine Black Orpheus, of which he has been one of the editors from its inception in 1957.... Cook's collection has an even closer university connexion, being derived from Penpoint, which was founded in 1958-59, the magazine of the English Department of Makerere University College in Kampala, the capital of Uganda...The Black Orpheus collection represents the second generation. In West Africa the use of English is long domesticated and now comes the urge to play with it. There is nothing here by Amos Tutuola, the first of the Nigerians to erupt into the consciousness of the European reading public with his startling word-play and fantastic subjects, but Gabriel Okara from Eastern Nigeria carries the game even further but also the syntax of his native Ijaw..."" ",,"language, syntax, grammar, collection, criticism, review, magazine, history, tradition",
Critical Article,The Times Literary Supplement,1972-05-12,p. 547, https://link.gale. com/apps/doc/EX1200380792/GDCS?u=linc74325&sid=GDCS&xid=c718dece,2019-12-17,Gale Primary Sources Database,"Achebe, Chinua. ""The Power of Print, II: What Do African Intellectuals Read?"" The Times Literary Supplement, 12 May 1972, p. 547. The Times Literary Supplement Historical Archive, https://link.gale. com/apps/doc/EX1200380792/GDCS?u=linc74325&sid=GDCS&xid=c718dece. Accessed 17 Dec. 2019.",The Power of Print II: What do African Intellectuals Read?,"Achebe, Chinua [Albert Chinualumogu]","Achebe, Chinua [Albert Chinualumogu]",,,,"Okara, Gabriel
Soyinka, Wole
Clark, John Pepper [J. P.]
Okigbo, Christopher",,"Cheyney, Peter|Writer
Christie, Agatha|Writer
Correlli, Marie|Writer
Clay, Bertha|Writer
Aluko, T. M.|Writer
Ekwensi, Cyprian|Writer
Ike, V. C.|Writer
Nwankwo, Nkem|Writer
Amadi, Elechi|Writer",,,,,,,,,"[Excerpt]: ""...Surely, the African intellectual reads Newsweek and TIme magazine, and one or two local papers as well. And it is conceivable that he might find time once in a while to dip into that decoratie set of encyclopedias one sees more and more these days adorning the sitting-rooms of the intellectual elite and their emulators...It was clear that the Africans who went to the library did not go in to search of literary pleasure. They were concerned mostly with one or other of the many external examinations of London University or the City and Guilds... When I was a boy things were rather different. Books were rare indeed. I remember the very strong impression made on me by the rows and rows of books in my school library when I first got there in 1944. I was, of course, most fortunate in gaining admission to a government college, one of those rare schools which the colonial administration built and endowed lavishly, for obscure reasons of its own. Cricket was played zealously and, in one of them at least, Eton Fives. But their most valuable asset was books. It is no doubt significant that, besides myself, almost all of the first generation of Nigerian writers had gone to one of the four or five government colleges; T. M. Aluko, Cyprian Ekwensi, Gabriel Okara, Wole Soyinka, J. P. Clark, Christopher Okigbo, V. C. Ike, Nkem Nwankwo, Elechi Amadi...""",,"book, reading, statistics, literature, intellectual, habit, culture, tradition",
Critical Article,The Times Literary Supplement,1962-08-10,p. 570+, https://link.gale.com/apps/doc/EX1200325446/GDCS?u=linc74325&sid=GDCS&xid= dadd4392,2019-12-17,Gale Primary Sources Database,"Beier, Ulli, and BEIER OLLI. ""Writing in West Africa: A Chance to Adapt and to Experiment."" The Times Literary Supplement, 10 Aug. 1962, p. 570+. The Times Literary Supplement Historical Archive, https://link.gale.com/apps/doc/EX1200325446/GDCS?u=linc74325&sid=GDCS&xid= dadd4392. Accessed 17 Dec. 2019",Writing in West Africa: A Chance to Adapt and to Experiment,"Beier, Ulli","Senghor, Léopold Sédar 
Achebe, Chinua [Albert Chinualumogu]
Okara, Gabriel
Soyinka, Wole
Clark, John Pepper [J. P.]
Okigbo, Christopher
Aig-Imoukhuede, Frank",,,,,,"Beier, Ulli|Critic
Oyono, Ferdinand Léopold|Writer
Beti, Mongo|Writer
Khane, Cheikh Ahmadou|Writer
Tutuola, Amos|Writer
Ekwensi, Cyprian|Writer
Nzekwu, Onuora|Writer
Jones, Babatunde|Writer
Esan, Yetunde|Writer
Decker, Thomas|Politician
",,,,,,,,,"[Excerpt]: ""Visitors to West Africa have often remarked that whereas in French territories Africans speak either immaculate French or none at all, in British West Africa many speak some form of broken or pidgin English. Mostly this is attributed to the fact that the French built far fewer schools than the British, but provided a thorough secondary education. At the same time it was their avowed policy to assimilate Africans to French culture. Since they claimed that West Africa was not really a colony but ""France Outre-Mer"", Africans were considered as underprivileged only as long as they did not have a French education... On the other hand Nigeria made a very late start. There was nothing at all before Mr. Tutuola's The Palm-Wine Drinkard, which was published in 1952. Even then it took years before literature in Nigeria got off the ground. But the past few years have seen a literary activity here that equals anything in French West Africa. There are at least four novelists of interest: Achebe, Ekwensi, Nzekwu and Babatunde Jones (the last unpublished); there are lively poets: Okara, Soyinka, Clark and Okigbo--the first two represented on the previous page. There are the playwrights: Soyinka, Clark, Yetunde Esan. The place is full of literary criticism and controversy; there are literary journals, clubs and associations."" ...",,"literature, territory, racism, pidgin, language, assimilation, criticism, review",
Book Review,The Times Literary Supplement,1972-12-29,p. 1573, https://link.gale.com/apps/doc/ EX1200386452/GDCS?u=linc74325&sid=GDCS&xid=93fa4883,2019-12-17,Gale Primary Sources Database,"Moore, Gerald Holyoake, and G. Moore. ""Through the Drum."" The Times Literary Supplement, 29 Dec. 1972, p. 1573. The Times Literary Supplement Historical Archive, https://link.gale.com/apps/doc/ EX1200386452/GDCS?u=linc74325&sid=GDCS&xid=93fa4883. Accessed 17 Dec. 2019.",Through the Drum,"Moore, Gerald","Soyinka, Wole
Okara, Gabriel
Awoonor, Kofi
Achebe, Chinua [Albert Chinualumogu]
Okigbo, Christopher
",,,,,,"Palmer, Eustace|Editor
Moore, Gerald|Critic
Larson, Charles R.|Academic
Duerden, Dennis|Editor
Pieterse, Cosmo|Editor
Oyono, Ferdinand|Writer
Ousmane, Sembene|Writer
Amadi, Elechi|Writer
Armah, Ayi Kewi|Writer
Beti, Mongo|Writer
Ekwensi, Cyprian|Writer
Auerbach, Erich|Writer
Ngugi, James|Writer",,,"Palmer, Eustace. An Introduction to the African Novel. Heinemann, 1972.

Larson, Charles R. The Emergence of African Fiction. Indiana University Press, 1972.

Duerden, Dennis and Cosmo Pieterse, eds. African Writers Talking. Heinemann Educational, 1972.",,,,,,"[Excerpt]: ""A comparison of two recent critical studies of African fiction raises the whole question of whether its effective criticism demands the isolation of an appropriate aesthetic, distinct from that assumed in teh study of the European or American novel. Any reader turning first to Eustace Palmer, as being the African in this brace of critics, is likely to be disappointed in his search for special illumination.... The collection of recorded interviews with various authors assembled in African Writers Talking derives its value from the fact that most of the writers have been interviewed several times, over a period of some years, and by different interlocutors. The result is a considerable illumination of the developing consciouness in men like Achebe, Okigbo, Awoonor, Ngugi, and Soyinka; consciousness about their own work, the nature of the art in which they work, and the degree of their obligation to be quite consciously teachers, stimulators and even admonishers of their societies...."" ",,"collection, comparison, criticism, review, aesthetic, art",
Book Review,The Times Literary Supplement,1965-09-16,p. 787,https://link.gale.com/apps/ doc/EX1200337631/GDCS?u=linc74325&sid=GDCS&xid=a795c187,2019-12-17,Gale Primary Sources Database,"May, Derwent J., and D. MAY. ""Lingua Franca, Lingua Poetica."" The Times Literary Supplement, 16 Sept. 1965, p. 787. The Times Literary Supplement Historical Archive, https://link.gale.com/apps/ doc/EX1200337631/GDCS?u=linc74325&sid=GDCS&xid=a795c187. Accessed 17 Dec. 2019.","Lingua Franca, Lingua Poetica","May, Derwent","Okara, Gabriel
Brew, Kwesi
Peters, Lenrie
",,,,"Wallace-Grabbe, Chris
Ezekiel, Nissim
Moraes, Dom
Hosain, Shahid
",,"Brent, P. L.|Editor
May, Derwent|Critic
Hopkins, Gerard Manley|Writer
Thomas, Dylan|Writer",,,"Brent, P. L., ed. Young Commonwealth Poets. Heinemann, 1965. ",,,,,,"[Excerpt]: ""As a by-product of the Cardiff poetry conference, here we have about 60,000 English words that 140 young men, of virtually all races, have felt impelled to put down on paper. How different the men must be, what different motives must have compelled them to write not only these particular words but to write words at all... The first feeling this anthology produces, then, is something like awe at the degree of world-wide understanding that it registers. The poets come from twenty-two countries, but nearly all have some dash of that special intuition with language--in this case, with English--that makes a man a poet. That said, of course discriminations must begin... And one or two voices stand out as very rich, strong and personal, like the Nigerian Gabriel Okara..."" ",,"anthology, review, criticism, wedding",
Book Review,The Times Literary Supplement,1965-04-01,p. 252, https://link.gale.com/apps/doc/ EX1200336192/GDCS?u=linc74325&sid=GDCS&xid=76133b79,2019-12-17,Gale Primary Sources Database,"Moore, Gerald Holyoake, and G. MOORE. ""- And Story."" The Times Literary Supplement, 1 Apr. 1965, p. 252. The Times Literary Supplement Historical Archive, https://link.gale.com/apps/doc/ EX1200336192/GDCS?u=linc74325&sid=GDCS&xid=76133b79. Accessed 17 Dec. 2019.",And Story,"Moore, Gerald","Achebe, Chinua [Albert Chinualumogu]
Cope, Jack [Robert Knox]
Okara, Gabriel",,,,,,"Moore, Gerald|Critic
Rive, Richard|Editor
Adams, Albert|Artist
Honwana, Luis Bernardo|Writer
Mphahlele, Es'kia|Writer
Abrahams, Peter|Writer
Tutuola, Amos|Writer
Layes, Camara|Writer
Nicol, Abioseh|Writer
Kariara, Jonathan|Writer
Ngugi, James|Writer
Matthrew, James|Writer
Wannenburgh, Alf|Writer
Hutchinson, Alfred|Writer
Motsisi, Casey|Writer
Themba, Can|Writer
Matshikiza, Todd|Writer
Modisane, Bloke|Writer
Maimane, Arthur|Writer
Aidoo, Christina|Writer
Tahir, Ibrahim|Writer
Jones, Babatunde|Writer

",,,"Rive, Richard, ed. Illustrated by Albert Adams. Modern African Prose: An Anthology. Heinemann, 1967.",,,,,,"[Excerpt]: ""There is one story in Mr. Richard Rive's selection which stings the tongue with the real taste of experience. Ironically enough, in this selection of modern English prose from Africa, it is a story translated from the Portuguese. We are not told by whom... What differences can be discerned between teh handling of the language by native English speakers like Jack Cope and by writers approaching it from another culture, with another music in their ears, like Achebe and Kariara? What popular idoms or dialects of English exist in Africa, and have any of these writers been able to come to terms with them? ... Again, there is none of the experimental prose now appearing in west Africa in the work of writers like Ibrahim Tahir, Gabriel Okara, and Babatunde Jones. All these are incomparably more interesting and liberating than most of what is offered here, with its conventional plots and undistinguished writing..."" ",,"prose, modern, autobiography, biography, racism",
Book Review,The Times Literary Supplement,1964-09-17,p. 853, https://link.gale.com/apps/doc/ EX1200334331/GDCS?u=linc74325&sid=GDCS&xid=bb42e695,2019-12-17,Gale Primary Sources Database,"Hinde, Thomas, and T. HINDE. ""In Two Nigerian Villages."" The Times Literary Supplement, 17 Sept. 1964, p. 853. The Times Literary Supplement Historical Archive, https://link.gale.com/apps/doc/ EX1200334331/GDCS?u=linc74325&sid=GDCS&xid=bb42e695. Accessed 17 Dec. 2019.",In Two Nigerian Villages,"Hinde, Thomas","Okara, Gabriel",,,,,,"Hinde, Thomas|Critic
Nwankwo, Nkem|Writer","Okara, Gabriel. The Voice. Fontana, 1964.",Single Author|Full Text,,,,,,,"[Excerpt]: ""Gabriel Okara's short first book, The Voice, is a morality tale rather than a novel and its characters have the flatness of symbols... Mr. Okara writes in a simple, folklore style (""Thus Okolo remembered the spoken words that form this policeman's mouth came out"") and this proves an effective vehicle for his tale. He is dealing, gropingly, with a real problem for the educated African, who is not merely caught between the various forces of traditionand despotism which he describes but has been deprived by success of his most obvious political hope..."" ",,"prejudice, racism, folklore, despotism, message, morality, criticism, review",
Critical Article,The Times Literary Supplement,1963-01-11,p. 25,https://link. gale.com/apps/doc/EX1200130705/GDCS?u=linc74325&sid=GDCS&xid=d0e54fc6. ,2019-12-17,Gale Primary Sources Database,"Willett, John William Mills, and J. WILLETT. ""Literature as Symptom?"" The Times Literary Supplement, 11 Jan. 1963, p. 25. The Times Literary Supplement Historical Archive, https://link. gale.com/apps/doc/EX1200130705/GDCS?u=linc74325&sid=GDCS&xid=d0e54fc6. Accessed 17 Dec. 2019.",Literature as Symptom,"Willett, John William Mills","Okigbo, Christopher
Clark, John Pepper [J. P.]
Brutus, Dennis
Soyinka, Wole
Okara, Gabriel
",,,,,,"Willett, John William Mills|Critic
Mphahlele, Ezekiel|Writer
Moore, Gerald|Academic
Nwoga, Donatus|Writer
Beier, Ulli|Academic
Brosnahan, L. F.|Academic
Spencer, J. W.|Academic
",,,,,,,,,"[Excerpt]: ""It is not only the Russians whose literature, as last week's front-page article argued, is liable to be dissected for its bearing on social and political conditions. To a certain extent this happens anywhere--the Russians themselves, for instance, often do the same thing for that of capitalist countries, sometimes with very misleading results--and it is a useful enough pastieme so long as it is not allowed to determine aesthetic judgments...Even then, if white writers are excluded from consideration, as they tacitly were throughout the conference, the basis for any kind of critical generalization is still slight. Perhaps that is why both Mr. Donatus Nwoga's paper on the short story and Mr. Mphahlele's own on the novel consisted largely of lengthy quotations from a handful of writers. Even Mr. Ulli Beier, of Ibadan, who is the outstanding critic in this field, confined himself virutally to the writings of the Nigerians Christopher Okigbo and J. P. Clark and the South African poet Dennis Brutus, saying that he had not seen more than six or seven poems by such other promising writers as Wole Soyinka and Gabriel Okara. We are certainly far from being able to speak of African literature as a whole..."" ",,"capitalism, criticism, literature, language",
Critical Article,The Times,1970-09-30,p. IX,https://link.gale. com/apps/doc/CS620983102/GDCS?u=linc74325&sid=GDCS&xid=f09696aa.,2019-12-17,Gale Primary Sources Database,"""Literary impact on world scene."" Times, 30 Sept. 1970, p. IX. The Times Digital Archive, https://link.gale. com/apps/doc/CS620983102/GDCS?u=linc74325&sid=GDCS&xid=f09696aa. Accessed 17 Dec. 2019.",Literary impact on world scene,"Cash, J. Allan","Achebe, Chinua [Albert Chinualumogu]
Soyinka, Wole
Okara, Gabriel
Okigbo, Christopher ",,,,,,"Cash, J. Allan|Reporter
Obo, Peter|Artist
Pike, Douglas|Reporter 
Ekwensi, Cyprian|Writer
Armah, Ayi Kwei|Writer
Hutchinson, Alfred|Writer
Deutsch, Andre|Writer
Nwapa, Flora|Writer
Nwankwo, Nkem|Writer
",,,,,,,,,"[Excerpt]: ""Nigerian literature, as known abroad, has found itself in the forefront of African literature in English. This is partly a result of sheer volume, in that Nigeria with its huge population has more internationally known writers than any other country in independent Africa. It is partly a result of being early in the field, and in many parts of the world African writing was first discovered in the books of Chinua Achebe and Cyprian Ekwensi... Wole Soyinka, novelist and playwright, has published work in Yoruba and in English. Achebe has never felt able to write creatively in Ibo and has written in English. A further point to note about the Ibo group of writers is that although their ethnic origins are Ibo, their experience was often national and before the political crisis so was much of their writing...""",,"literature, writing, language, translation, international, global, painting, war",
Published Poem,The Times Literary Supplement,1962-08-10,p. 569, https://link.gale.com/apps/doc/EX1200325445/GDCS?u= linc74325&sid=GDCS&xid=701fb2c1,2019-12-17,Gale Primary Sources Database,"Ghose, Zulfikar. ""Zulfikar Ghose."" The Times Literary Supplement, 10 Aug. 1962, p. 569. The Times Literary Supplement Historical Archive, https://link.gale.com/apps/doc/EX1",Telephone Conversations,,"Soyinka, Wole",,,,"Okara, Gabriel
Hong, EE Tiang
Ghose, Zulfikar",,,"Soyinka, Wole. ""Telephone Conversation."" 1962.",,,,,,,,,,"publication, telephone",
